"rider","Team","Cost","Stg","GC","PC","KOM","Spr","Sum","Bky","Ass","Tot","stage","directeur","team"
"Richie Porte","BMC Racing Team",22,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"Stew Ralph","Fly Guys"
"Bob Jungels","Quick-Step Floors",10,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"Stew Ralph","Fly Guys"
"Romain Bardet","AG2R La Mondiale",14,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"Stew Ralph","Fly Guys"
"Nairo Quintana","Movistar Team",18,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"Stew Ralph","Fly Guys"
"Peter Sagan","BORA - hansgrohe",20,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"Stew Ralph","Fly Guys"
"Marcus Burghardt","BORA - hansgrohe",4,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"Stew Ralph","Fly Guys"
"Imanol Erviti","Movistar Team",4,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"Stew Ralph","Fly Guys"
"Michael Schar","BMC Racing Team",4,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"Stew Ralph","Fly Guys"
"Pavel Kochetkov","Team Katusha - Alpecin",4,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"Stew Ralph","Fly Guys"
"Christopher Froome","Team Sky",26,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"Ben Neal","Cooperâ€™s Crankers"
"Tom Dumoulin","Team Sunweb",16,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"Ben Neal","Cooperâ€™s Crankers"
"Romain Bardet","AG2R La Mondiale",14,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"Ben Neal","Cooperâ€™s Crankers"
"Egan Arley Bernal","Team Sky",12,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"Ben Neal","Cooperâ€™s Crankers"
"Michael Matthews","Team Sunweb",12,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"Ben Neal","Cooperâ€™s Crankers"
"Koen De Kort","Trek - Segafredo",4,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"Ben Neal","Cooperâ€™s Crankers"
"Jack Bauer","Mitchelton-Scott",4,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"Ben Neal","Cooperâ€™s Crankers"
"Marcus Burghardt","BORA - hansgrohe",4,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"Ben Neal","Cooperâ€™s Crankers"
"Luis Leon Sanchez","Astana Pro Team",8,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"Ben Neal","Cooperâ€™s Crankers"
"Christopher Froome","Team Sky",26,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"Simon Lyons","Brake Rub Regression"
"Rigoberto Uran","EF Education First-Drapac p/b Cannondale",12,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"Simon Lyons","Brake Rub Regression"
"Romain Bardet","AG2R La Mondiale",14,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"Simon Lyons","Brake Rub Regression"
"Egan Arley Bernal","Team Sky",12,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"Simon Lyons","Brake Rub Regression"
"Marcel Kittel","Team Katusha - Alpecin",12,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"Simon Lyons","Brake Rub Regression"
"Niki Terpstra","Quick-Step Floors",6,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"Simon Lyons","Brake Rub Regression"
"Daryl Impey","Mitchelton-Scott",8,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"Simon Lyons","Brake Rub Regression"
"Daniele Bennati","Movistar Team",6,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"Simon Lyons","Brake Rub Regression"
"Imanol Erviti","Movistar Team",4,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"Simon Lyons","Brake Rub Regression"
"Geraint Thomas","Team Sky",14,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"Lee Taylor","Stinkys Strokers"
"Jakob Fuglsang","Astana Pro Team",14,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"Lee Taylor","Stinkys Strokers"
"Mikel Landa","Movistar Team",16,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"Lee Taylor","Stinkys Strokers"
"Adam Yates","Mitchelton-Scott",14,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"Lee Taylor","Stinkys Strokers"
"Nacer Bouhanni","Cofidis Solutions Crédits",10,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"Lee Taylor","Stinkys Strokers"
"Jack Bauer","Mitchelton-Scott",4,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"Lee Taylor","Stinkys Strokers"
"Luke Durbridge","Mitchelton-Scott",6,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"Lee Taylor","Stinkys Strokers"
"Michael Hepburn","Mitchelton-Scott",4,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"Lee Taylor","Stinkys Strokers"
"Nairo Quintana","Movistar Team",18,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"Lee Taylor","Stinkys Strokers"
